music_id,music_name,music_url,music_author,music_album,music_list_id
26159506,对嘴,http://m10.music.126.net/20190509103731/59b262e13776f3c10f3535bda2e5b8c1/ymusic/0053/035a/055b/799ac3764d40a1e52abc2122e9edf1a7.mp3,周笔畅,周游拾光 周笔畅音乐之旅精选记录,957
1318235595,耳朵,http://m10.music.126.net/20190509103737/8f697629bfa47ea7898d6a83c12816b8/ymusic/555c/0159/555e/b60257e908639de6b675b4bd68a33aea.mp3,李荣浩,耳朵,957
150617,找自己,http://m10.music.126.net/20190509103743/d606ce1c1d8c2fdea06b9327fc32a772/ymusic/dddd/dda9/b63d/a653179ffc6b0820ce55818c2551d4fa.mp3,陶喆,I'm Ok,957
28563317,阴天快乐,http://m10.music.126.net/20190509103749/94d722e05db7624810830517fffefced/ymusic/49ec/0b86/0211/d4b979e1a065491a4f56f0248dbad05d.mp3,陈奕迅,rice & shine,957
31545740,你好可爱,http://m10.music.126.net/20190509103755/63edd966fc3507f1f2b28b91a8552b4f/ymusic/248c/1d18/61b8/20f761bf0e2f3715ee2dd338ba98ccde.mp3,吴克群,宋智孝,957
1354477597,像风走了八千里,http://m10.music.126.net/20190509103801/66fb1341a2e2e50b9222409435ffbde7/ymusic/030e/055b/525e/4dc454c46821f1e21f8ae4af52775151.mp3,胜娚（王胜男）,像风走了八千里,957
569212210,想你想你,http://m10.music.126.net/20190509103808/3a62a29af8c565254d9d9eebea0f0f9a/ymusic/7df8/b21b/6fdd/a635fac93e78eb00cf9b592257c909ac.mp3,毛不易,平凡的一天,957
420513158,红蔷薇白玫瑰,http://m10.music.126.net/20190509103814/98c7a4753a67458a42c826a274dd8792/ymusic/918c/59dd/6093/622a619722cd9cf1d6e6340b9e1005c5.mp3,G.E.M.邓紫棋,红蔷薇白玫瑰,957
1336871144,宝贝,http://m10.music.126.net/20190509103820/903b9e95c4814cefb5276b29916b9eb0/ymusic/0309/025d/0058/4c8cac8eb057f32a791672138ca2dc82.mp3,徐秉龙,宝贝,957
4875075,遇到,http://m10.music.126.net/20190509103826/f6fd5ed527780ea0421b0178555b0477/ymusic/bdb6/4eb6/aabd/26e833f3fe2e76237b2ef5f815077ffb.mp3,方雅贤,恶作剧之吻 电视原声带,957
93188,蝴蝶,http://m10.music.126.net/20190509103832/7b8b3161ab947fe5aee0d66336cb1669/ymusic/471a/e9c2/6c48/83792471c1a9437fb91cac7ca5dbdf2b.mp3,胡彦斌,音乐密码,957
553815178,静悄悄,http://m10.music.126.net/20190509103838/c0efaa5f03155c937901a0f265040cad/ymusic/2705/f1fc/04d4/7d48f5e5e7aaa8380358cc76a3b94f20.mp3,陈泫孝（大泫）,静悄悄,957
1354629987,去见你,http://m10.music.126.net/20190509103845/c38371322cbaef029546e04241f4c38b/ymusic/510e/545c/5152/fdc454c6eec650884d98f8e116708c11.mp3,徐秉龙,去见你,957
402073803,莉莉安,http://m10.music.126.net/20190509103851/9f3f5f7635e137507a97d02db69285b4/ymusic/22ed/12d3/631e/7f8d170bd3962569eda7a3fc16684890.mp3,徐佳莹,我是歌手第四季 第4期,957
485960228,岁月神偷,http://m10.music.126.net/20190509103857/4d21c4f133907e67f6f25a1a4e095248/ymusic/a9be/607f/81dd/5c1aab22c6d7239e4f92f4c9e5b62433.mp3,周笔畅,岁月神偷,957
29450548,龙卷风,http://m10.music.126.net/20190509103903/9ef5be14292ce8b6ff74b9b3f58f282f/ymusic/12e5/4fef/b24c/562202514166e1de6a9fe062421f5aa9.mp3,G.E.M.邓紫棋,龙卷风,957
409650012,相守,http://m10.music.126.net/20190509103910/80968af4f851e697459008961fc03bed/ymusic/d020/a0fa/3b88/15a6bc8e1df65a810e1f19c4f9f2e5e0.mp3,栗先达,相守,957
368878,初恋粉色系,http://m10.music.126.net/20190509103916/dce2da2919a801e5a7af5339ea3f8804/ymusic/18fc/8616/7c7e/4f5bca85673e5feb905bb9ffb8c9468d.mp3,南拳妈妈,调色盘,957
150671,心乱飞,http://m10.music.126.net/20190509103922/02d1aab01bb51194c3cab43f73b63dbc/ymusic/20b6/9353/1b14/1dc83412677b7b8e0e01e04ef7935722.mp3,陶喆,David Tao 同名专辑,957
